Company,Job Title,Industry,Location,Employment Type,Experience Level,Remote Flexibility,Salary (Annual),Currency,Years of Experience,Job Satisfaction Score (1-10),Perks,Last Promotion (Years Ago),TechStack1,TechStack2
IBM,Data Analyst,Healthcare,Chicago,Contract,Mid,Remote,143523.64,GBP,4.6,7,Remote Stipend,4.62,C#,.NET
Meta,DevOps Engineer,Tech,Chicago,Contract,Senior,Onsite,67544.37,EUR,7.2,8,Remote Stipend,1.87,C#,.NET
Salesforce,UX Designer,Retail,Boston,Part-time,Mid,Onsite,158305.72,USD,7.9,9,Flexible Hours,0.39,C#,.NET
IBM,Data Analyst,Tech,Boston,Part-time,Mid,Remote,85780,AUD,6.6,4,Remote Stipend,2.44,C#,.NET
Salesforce,UX Designer,Tech,Seattle,Part-time,Lead,Hybrid,125864.9,AUD,6.9,5,Stock Options,1.98,C#,.NET
Google,DevOps Engineer,Finance,Remote,Full-time,Entry,Hybrid,88569.91,USD,8.1,1,Gym Membership,0.16,Python,SQL
Tesla,Software Engineer,Finance,Boston,Internship,Senior,Hybrid,106251.31,GBP,5.6,9,Flexible Hours,0.59,JavaScript,React
Salesforce,UX Designer,Retail,New York,Part-time,Entry,Remote,196343.42,GBP,10.1,9,Remote Stipend,1.9,R,Tableau
Apple,Software Engineer,Education,Austin,Part-time,Senior,Remote,189359.76,USD,0.5,7,Stock Options,1.2,Go,Kubernetes
Microsoft,Data Analyst,Retail,San Francisco,Internship,Entry,Remote,155891.98,GBP,6.6,9,Stock Options,0.7,JavaScript,React
Meta,Software Engineer,Media,Remote,Contract,Senior,Remote,81299.95,EUR,14.8,9,Gym Membership,1.5,JavaScript,React
Google,Data Scientist,Retail,Chicago,Part-time,Lead,Onsite,114255.53,INR,14.1,7,Flexible Hours,3.48,Go,Kubernetes
Tesla,Software Engineer,Healthcare,Seattle,Part-time,Lead,Remote,174387.96,INR,12.9,3,Stock Options,2.81,R,Tableau
Tesla,Data Scientist,Retail,New York,Internship,Mid,Hybrid,64567.24,USD,13.8,6,Remote Stipend,3.62,Python,SQL
Apple,Data Analyst,Healthcare,Seattle,Full-time,Entry,Remote,166790.61,AUD,10.9,9,Gym Membership,1.04,JavaScript,React
Netflix,Product Manager,Tech,New York,Part-time,Entry,Onsite,199927.24,GBP,13.7,10,Health Insurance,1.98,C#,.NET
Apple,Data Scientist,Healthcare,Boston,Contract,Lead,Hybrid,120720.52,INR,4.6,6,Gym Membership,2.33,Go,Kubernetes
Adobe,Product Manager,Finance,Austin,Contract,Lead,Remote,125629.2,EUR,11.1,1,Remote Stipend,4.67,Java,Spring
IBM,DevOps Engineer,Education,Austin,Part-time,Mid,Hybrid,69103.17,AUD,12.5,8,Flexible Hours,1.29,Go,Kubernetes
Adobe,DevOps Engineer,Media,Chicago,Internship,Lead,Remote,154571.28,INR,2.5,9,Health Insurance,4.58,R,Tableau
Salesforce,DevOps Engineer,Tech,Remote,Full-time,Entry,Onsite,38247.45,USD,6.2,4,Health Insurance,0.05,Python,SQL
Salesforce,UX Designer,Healthcare,San Francisco,Internship,Lead,Remote,31124.1,AUD,6.2,1,Flexible Hours,2.68,Go,Kubernetes
Meta,Data Analyst,Retail,Boston,Internship,Mid,Remote,186068.3,AUD,2.2,4,Remote Stipend,1.26,Go,Kubernetes
Netflix,Product Manager,Education,San Francisco,Contract,Lead,Hybrid,126050.37,EUR,4.5,2,Stock Options,0.47,C#,.NET
Tesla,UX Designer,Retail,Seattle,Full-time,Entry,Onsite,59135.21,GBP,12.7,6,Stock Options,4.47,Go,Kubernetes
Google,Software Engineer,Finance,Boston,Internship,Senior,Remote,187107.08,INR,13.5,10,Stock Options,0.9,C#,.NET
Netflix,Data Analyst,Finance,Remote,Part-time,Lead,Remote,80877.07,AUD,3.6,7,Remote Stipend,1.66,C#,.NET
Amazon,DevOps Engineer,Media,San Francisco,Contract,Entry,Remote,104305,USD,5.1,10,Gym Membership,4.84,Go,Kubernetes
Netflix,Data Analyst,Media,Austin,Internship,Lead,Remote,90487.9,GBP,6.5,10,Gym Membership,0.43,C#,.NET
IBM,Product Manager,Finance,Chicago,Full-time,Entry,Hybrid,56217.56,EUR,11.1,6,Stock Options,0.46,Java,Spring
Meta,UX Designer,Healthcare,Boston,Contract,Entry,Remote,44840.53,GBP,6.7,9,Gym Membership,0.52,Go,Kubernetes
Microsoft,Product Manager,Retail,San Francisco,Contract,Lead,Remote,79614.05,GBP,11.7,9,Remote Stipend,2.61,JavaScript,React
Tesla,Software Engineer,Finance,Austin,Contract,Senior,Hybrid,54808.92,EUR,6.5,7,Gym Membership,3.91,Java,Spring
Netflix,Product Manager,Finance,Chicago,Internship,Mid,Hybrid,48185.3,INR,0.1,7,Remote Stipend,1.9,Java,Spring
Netflix,UX Designer,Healthcare,Seattle,Part-time,Senior,Hybrid,132545.92,EUR,7.2,3,Flexible Hours,1.46,R,Tableau
Adobe,Data Scientist,Finance,Austin,Internship,Senior,Hybrid,92052.64,AUD,3,9,Remote Stipend,0.13,JavaScript,React
Adobe,DevOps Engineer,Finance,Seattle,Contract,Entry,Hybrid,144406.2,EUR,9.5,4,Health Insurance,3.58,Java,Spring
Tesla,Data Analyst,Education,Remote,Internship,Lead,Onsite,116124.15,GBP,8.2,6,Remote Stipend,2.97,C#,.NET
Microsoft,Data Analyst,Finance,Chicago,Contract,Mid,Onsite,134155.24,AUD,14.8,7,Gym Membership,0.53,Java,Spring
Microsoft,Product Manager,Finance,Remote,Part-time,Lead,Hybrid,96492.81,AUD,10.4,3,Stock Options,2.41,Java,Spring
Meta,UX Designer,Tech,San Francisco,Part-time,Senior,Hybrid,88321.34,EUR,7.8,6,Stock Options,2.19,R,Tableau
Adobe,Product Manager,Tech,Austin,Full-time,Entry,Remote,174360.6,USD,10.2,3,Health Insurance,2.58,C#,.NET
Salesforce,Software Engineer,Healthcare,Remote,Internship,Lead,Remote,165618.48,EUR,2.8,7,Stock Options,3.69,R,Tableau
Apple,UX Designer,Retail,Seattle,Internship,Entry,Onsite,66515.34,INR,11.3,2,Stock Options,4,Go,Kubernetes
Salesforce,Software Engineer,Healthcare,Austin,Part-time,Lead,Remote,74600.08,GBP,7.9,6,Gym Membership,3.06,Go,Kubernetes
IBM,Data Analyst,Healthcare,Austin,Internship,Mid,Onsite,150018.02,INR,13.8,10,Health Insurance,1.57,Python,SQL
Apple,Product Manager,Tech,New York,Contract,Mid,Onsite,96038.76,AUD,2.1,7,Health Insurance,2.43,R,Tableau
Salesforce,DevOps Engineer,Media,New York,Part-time,Lead,Hybrid,53850.41,INR,12.6,10,Flexible Hours,4.76,Python,SQL
Adobe,Software Engineer,Finance,Boston,Internship,Lead,Hybrid,146398.43,GBP,10.7,8,Health Insurance,0.41,R,Tableau
Google,Software Engineer,Healthcare,San Francisco,Contract,Mid,Onsite,79073.95,GBP,8.5,8,Remote Stipend,0.57,Go,Kubernetes
Microsoft,Product Manager,Retail,Boston,Contract,Entry,Onsite,105032.32,EUR,14.8,2,Health Insurance,1.49,C#,.NET
Google,UX Designer,Healthcare,Austin,Full-time,Lead,Remote,161857.38,EUR,3.1,10,Flexible Hours,4.31,C#,.NET
IBM,DevOps Engineer,Education,New York,Part-time,Mid,Remote,166924.88,AUD,5.3,5,Remote Stipend,0.84,Go,Kubernetes
Meta,Product Manager,Retail,Austin,Full-time,Mid,Hybrid,186190.68,INR,13,3,Health Insurance,1.25,C#,.NET
Netflix,Software Engineer,Media,Seattle,Internship,Mid,Onsite,137508.34,GBP,5.6,2,Stock Options,2.01,C#,.NET
Meta,DevOps Engineer,Healthcare,Seattle,Internship,Senior,Onsite,30420.42,USD,11,8,Flexible Hours,4.25,C#,.NET
Salesforce,UX Designer,Finance,Seattle,Part-time,Lead,Hybrid,84887.08,INR,5.1,10,Remote Stipend,4.26,JavaScript,React
Netflix,DevOps Engineer,Tech,San Francisco,Full-time,Lead,Remote,51120.32,EUR,6.6,1,Health Insurance,4.98,R,Tableau
Amazon,DevOps Engineer,Healthcare,New York,Contract,Entry,Onsite,91274.02,USD,5.6,3,Gym Membership,3.13,Python,SQL
Apple,UX Designer,Media,San Francisco,Full-time,Entry,Remote,111057.14,EUR,8.9,9,Gym Membership,0.05,C#,.NET
Netflix,Data Analyst,Education,Chicago,Part-time,Lead,Remote,68920.97,USD,11,2,Flexible Hours,1.84,Python,SQL
Meta,Software Engineer,Education,Boston,Part-time,Mid,Remote,120186.41,USD,9.2,3,Flexible Hours,3.61,R,Tableau
Amazon,UX Designer,Retail,Chicago,Internship,Mid,Remote,182420.8,EUR,11.3,10,Gym Membership,1.76,C#,.NET
Tesla,Product Manager,Finance,New York,Contract,Entry,Remote,124077.43,AUD,10.8,5,Stock Options,4.24,C#,.NET
Meta,Software Engineer,Retail,Remote,Part-time,Lead,Hybrid,139848.86,EUR,7.4,2,Gym Membership,3.19,JavaScript,React
Microsoft,Data Scientist,Tech,Austin,Contract,Mid,Hybrid,176338.38,AUD,6.3,9,Health Insurance,3.81,C#,.NET
Microsoft,Data Analyst,Retail,San Francisco,Full-time,Senior,Remote,36770.57,USD,14.2,7,Flexible Hours,3.14,Go,Kubernetes
Salesforce,UX Designer,Education,Chicago,Internship,Entry,Onsite,121216.02,AUD,2.3,2,Stock Options,2.56,Java,Spring
Apple,Software Engineer,Retail,Austin,Internship,Entry,Hybrid,148774.9,EUR,0.9,2,Stock Options,2.27,R,Tableau
IBM,Data Analyst,Healthcare,Chicago,Part-time,Entry,Remote,150343.1,USD,2.5,6,Remote Stipend,3.91,Go,Kubernetes
Meta,Software Engineer,Healthcare,New York,Contract,Entry,Remote,86951.87,GBP,4.1,2,Remote Stipend,3.14,Java,Spring
Adobe,UX Designer,Retail,Austin,Full-time,Lead,Onsite,58369.84,EUR,3.8,2,Stock Options,1.14,Go,Kubernetes
Salesforce,Data Analyst,Tech,Boston,Full-time,Mid,Remote,110199.98,GBP,13.8,3,Remote Stipend,4.02,Python,SQL
Tesla,Software Engineer,Healthcare,New York,Internship,Senior,Hybrid,170419.49,AUD,5.6,9,Stock Options,0.9,C#,.NET
Salesforce,Data Analyst,Education,San Francisco,Internship,Senior,Hybrid,85641.16,AUD,6.9,6,Flexible Hours,2.82,JavaScript,React
Meta,DevOps Engineer,Retail,New York,Internship,Senior,Onsite,195215.82,EUR,11,9,Health Insurance,0.03,JavaScript,React
Tesla,Data Analyst,Finance,Remote,Contract,Entry,Hybrid,30248.55,GBP,12.7,5,Health Insurance,2.65,Python,SQL
Apple,UX Designer,Education,San Francisco,Part-time,Senior,Remote,37463.05,EUR,13.5,9,Flexible Hours,2.29,R,Tableau
Microsoft,Data Scientist,Tech,Remote,Part-time,Lead,Remote,130622.28,USD,6.5,3,Flexible Hours,1.3,JavaScript,React
Netflix,UX Designer,Media,Boston,Contract,Senior,Hybrid,76232.5,USD,14.2,3,Stock Options,0.78,Go,Kubernetes
Amazon,UX Designer,Education,Austin,Internship,Entry,Onsite,90908.87,EUR,6.8,8,Stock Options,0.45,Java,Spring
Meta,DevOps Engineer,Media,Remote,Full-time,Mid,Hybrid,55215.05,EUR,14.5,7,Stock Options,3.39,Go,Kubernetes
Meta,Software Engineer,Tech,Seattle,Internship,Mid,Remote,108547.35,EUR,1.8,1,Health Insurance,0.99,JavaScript,React
Tesla,Product Manager,Media,Chicago,Full-time,Senior,Remote,33706.03,USD,3,8,Stock Options,4.53,JavaScript,React
Netflix,Data Analyst,Tech,Seattle,Full-time,Mid,Onsite,103636.58,GBP,7.4,7,Gym Membership,0.86,C#,.NET
Apple,Software Engineer,Healthcare,Austin,Internship,Mid,Remote,134398.12,AUD,3.7,5,Gym Membership,4.41,R,Tableau
Adobe,Data Analyst,Tech,Austin,Internship,Mid,Hybrid,63907.83,AUD,3.7,9,Gym Membership,3.91,Python,SQL
Netflix,UX Designer,Retail,Boston,Internship,Senior,Onsite,115406.85,GBP,4.1,1,Remote Stipend,1.1,Java,Spring
Meta,Data Analyst,Education,Remote,Contract,Mid,Remote,47022.84,EUR,4,1,Remote Stipend,4.23,JavaScript,React
Tesla,Product Manager,Finance,New York,Part-time,Senior,Onsite,148596.52,AUD,0.4,6,Remote Stipend,0.71,Go,Kubernetes
Apple,UX Designer,Retail,Austin,Part-time,Lead,Remote,45343.75,EUR,9,1,Gym Membership,0,Go,Kubernetes
IBM,Software Engineer,Finance,Austin,Part-time,Senior,Remote,33725.19,AUD,10.6,3,Remote Stipend,4.3,Python,SQL
Microsoft,Product Manager,Media,Chicago,Internship,Entry,Hybrid,81300.08,EUR,14.6,7,Gym Membership,3.25,C#,.NET
Amazon,DevOps Engineer,Retail,Chicago,Contract,Mid,Onsite,130121.53,EUR,5.7,5,Health Insurance,3.64,JavaScript,React
IBM,UX Designer,Retail,San Francisco,Part-time,Senior,Onsite,67552.19,AUD,1.6,8,Flexible Hours,3.73,JavaScript,React
Apple,Product Manager,Healthcare,New York,Full-time,Senior,Hybrid,31937.26,EUR,3.7,2,Flexible Hours,3.94,Java,Spring
Google,Data Analyst,Education,Seattle,Internship,Mid,Hybrid,113823.94,GBP,5.3,7,Gym Membership,3.94,Python,SQL
IBM,DevOps Engineer,Media,New York,Part-time,Lead,Remote,165863.08,USD,4.4,6,Stock Options,0.37,Java,Spring
Amazon,UX Designer,Finance,Chicago,Full-time,Entry,Hybrid,130985.19,AUD,13.4,1,Health Insurance,3.04,R,Tableau
Tesla,Software Engineer,Tech,San Francisco,Contract,Mid,Remote,99577.58,AUD,10.8,9,Flexible Hours,1.49,Java,Spring
Microsoft,Data Analyst,Education,Remote,Internship,Mid,Remote,91340.92,GBP,1.3,10,Health Insurance,0.48,R,Tableau
Apple,Software Engineer,Media,Austin,Full-time,Lead,Remote,82420.08,GBP,7.1,5,Remote Stipend,1.94,Python,SQL
Netflix,UX Designer,Healthcare,New York,Internship,Entry,Hybrid,104755.87,INR,3.4,5,Stock Options,0.76,Go,Kubernetes
Microsoft,Data Analyst,Media,Austin,Internship,Mid,Onsite,40367.24,GBP,12.3,7,Gym Membership,2.86,Go,Kubernetes
Apple,UX Designer,Healthcare,San Francisco,Internship,Entry,Onsite,127107.39,AUD,12,10,Stock Options,4.75,JavaScript,React
Adobe,Software Engineer,Finance,New York,Part-time,Mid,Remote,101973.73,GBP,3,3,Flexible Hours,1.6,Go,Kubernetes
Microsoft,Data Analyst,Education,Remote,Internship,Senior,Hybrid,118346.99,USD,11.8,10,Remote Stipend,3.91,Go,Kubernetes
Microsoft,UX Designer,Finance,New York,Full-time,Entry,Onsite,162522.6,INR,13,6,Flexible Hours,1.92,R,Tableau
Adobe,Data Scientist,Retail,Seattle,Full-time,Mid,Hybrid,98505.57,AUD,9.1,7,Gym Membership,4.45,Python,SQL
Netflix,DevOps Engineer,Finance,San Francisco,Internship,Senior,Hybrid,33439.59,INR,4.7,8,Stock Options,4.86,C#,.NET
Apple,Software Engineer,Healthcare,Chicago,Internship,Senior,Hybrid,153895.9,AUD,9.7,4,Health Insurance,4.57,R,Tableau
Tesla,DevOps Engineer,Education,Boston,Contract,Entry,Onsite,164553.37,USD,4.7,9,Health Insurance,3.9,R,Tableau
Salesforce,Data Scientist,Tech,New York,Part-time,Mid,Remote,72413.34,GBP,0.8,6,Health Insurance,1.37,C#,.NET
Adobe,Data Scientist,Education,Chicago,Full-time,Entry,Remote,93319.35,AUD,6.7,8,Remote Stipend,1.75,Go,Kubernetes
Amazon,Product Manager,Media,Boston,Full-time,Senior,Remote,95716.16,EUR,12.8,4,Health Insurance,3.39,JavaScript,React
Meta,DevOps Engineer,Education,Remote,Full-time,Entry,Hybrid,184957.62,EUR,9,1,Flexible Hours,3.04,JavaScript,React
Meta,DevOps Engineer,Media,Chicago,Contract,Lead,Hybrid,174769.65,GBP,3.8,8,Remote Stipend,4.12,Java,Spring
Tesla,Data Scientist,Tech,San Francisco,Contract,Senior,Hybrid,146350.23,GBP,1,5,Flexible Hours,4.31,C#,.NET
Meta,DevOps Engineer,Media,Chicago,Contract,Mid,Remote,117939.91,EUR,13.5,10,Flexible Hours,3.4,R,Tableau
Google,DevOps Engineer,Education,Austin,Contract,Lead,Hybrid,96006.74,USD,8.7,10,Flexible Hours,3.63,JavaScript,React
Apple,DevOps Engineer,Retail,Chicago,Internship,Senior,Onsite,81033.12,EUR,12.6,9,Flexible Hours,0.49,JavaScript,React
Amazon,DevOps Engineer,Healthcare,Chicago,Part-time,Senior,Onsite,45180.97,INR,3.3,5,Flexible Hours,1.86,R,Tableau
IBM,Product Manager,Education,Boston,Full-time,Lead,Remote,177286.87,AUD,8.7,10,Gym Membership,4.45,Python,SQL
Salesforce,Data Analyst,Media,Seattle,Contract,Lead,Remote,178044.35,EUR,2.1,4,Gym Membership,4.94,Java,Spring
Adobe,Software Engineer,Healthcare,Boston,Part-time,Entry,Hybrid,86547.01,EUR,4.7,1,Gym Membership,1.37,Python,SQL
Amazon,Data Scientist,Finance,Seattle,Full-time,Mid,Onsite,103730.94,GBP,6.1,8,Stock Options,0.19,R,Tableau
Apple,DevOps Engineer,Healthcare,San Francisco,Contract,Mid,Remote,145047.18,EUR,3.4,6,Health Insurance,0.51,Java,Spring
Salesforce,Data Scientist,Healthcare,New York,Full-time,Entry,Hybrid,191238.77,GBP,10.9,10,Flexible Hours,2.17,Go,Kubernetes
Amazon,Product Manager,Education,Austin,Part-time,Mid,Hybrid,33251.2,EUR,10.9,3,Stock Options,2.95,JavaScript,React
Amazon,Data Analyst,Healthcare,Chicago,Full-time,Lead,Onsite,73484.16,AUD,9.3,10,Stock Options,3.27,Python,SQL
Google,Data Analyst,Media,San Francisco,Internship,Lead,Hybrid,51011.16,INR,7.1,3,Stock Options,1.51,JavaScript,React
Microsoft,DevOps Engineer,Retail,Austin,Part-time,Lead,Remote,116969.41,AUD,1.8,2,Gym Membership,0.99,Python,SQL
Apple,Product Manager,Retail,New York,Contract,Lead,Hybrid,57263.51,AUD,7.4,4,Gym Membership,1.65,C#,.NET
Google,Data Analyst,Media,San Francisco,Full-time,Lead,Remote,191405.82,AUD,1.1,2,Health Insurance,2.28,Java,Spring
Meta,Product Manager,Education,San Francisco,Full-time,Mid,Remote,174882.28,INR,12,6,Stock Options,0.47,R,Tableau
Google,Data Analyst,Finance,Chicago,Part-time,Senior,Hybrid,182069.69,AUD,4,2,Flexible Hours,0.91,Java,Spring
Tesla,UX Designer,Education,Austin,Internship,Lead,Hybrid,140303.9,EUR,1.7,1,Stock Options,2.08,JavaScript,React
IBM,UX Designer,Retail,Chicago,Internship,Mid,Onsite,94557.63,INR,9.2,3,Gym Membership,0.56,R,Tableau
Tesla,UX Designer,Tech,San Francisco,Contract,Senior,Remote,149776.59,AUD,11.5,10,Remote Stipend,1.12,C#,.NET
Netflix,Data Scientist,Retail,Chicago,Full-time,Lead,Onsite,153530.83,GBP,5.2,7,Remote Stipend,4.46,JavaScript,React
IBM,Data Analyst,Tech,Chicago,Part-time,Lead,Hybrid,177800.66,USD,11.3,6,Flexible Hours,4.85,JavaScript,React
Google,Data Scientist,Finance,Remote,Internship,Lead,Remote,43401.2,GBP,12,8,Gym Membership,2.24,Python,SQL
Microsoft,UX Designer,Media,Chicago,Full-time,Entry,Hybrid,100097.55,AUD,8.2,2,Remote Stipend,3.19,Go,Kubernetes
Salesforce,Data Scientist,Finance,Chicago,Internship,Senior,Hybrid,170302.87,EUR,12.7,6,Remote Stipend,3,Go,Kubernetes
Netflix,DevOps Engineer,Education,San Francisco,Full-time,Mid,Remote,88030.71,INR,8.2,6,Stock Options,0.23,C#,.NET
Amazon,UX Designer,Finance,Boston,Internship,Entry,Hybrid,133844.8,EUR,1.8,7,Gym Membership,4.12,JavaScript,React
Apple,DevOps Engineer,Healthcare,San Francisco,Internship,Entry,Onsite,172369.26,AUD,1.8,8,Remote Stipend,4.78,R,Tableau
Amazon,UX Designer,Tech,Remote,Full-time,Lead,Onsite,112098.43,AUD,11.7,3,Remote Stipend,0.87,C#,.NET
Amazon,Data Analyst,Education,Chicago,Contract,Lead,Hybrid,196515.13,EUR,4.1,6,Gym Membership,4.02,Java,Spring
Amazon,UX Designer,Retail,Chicago,Contract,Senior,Onsite,155259.17,AUD,9.5,4,Remote Stipend,3.57,JavaScript,React
Netflix,DevOps Engineer,Finance,Chicago,Part-time,Senior,Onsite,49618.89,INR,8.4,10,Gym Membership,3.37,Go,Kubernetes
Salesforce,Product Manager,Education,Boston,Full-time,Entry,Remote,94747.95,USD,10.1,4,Health Insurance,4.92,Java,Spring
Meta,Software Engineer,Tech,Chicago,Contract,Mid,Onsite,35492.09,GBP,1.5,9,Remote Stipend,1.94,JavaScript,React
Salesforce,DevOps Engineer,Healthcare,Chicago,Full-time,Lead,Hybrid,100816.26,INR,14.5,1,Flexible Hours,1.02,Python,SQL
Adobe,Software Engineer,Media,Chicago,Contract,Mid,Onsite,193929.27,INR,6.7,2,Health Insurance,3.68,JavaScript,React
Microsoft,UX Designer,Tech,Seattle,Contract,Senior,Remote,57357.9,INR,0.1,8,Health Insurance,0.2,C#,.NET
Netflix,Data Scientist,Tech,Boston,Contract,Lead,Onsite,123527.23,USD,11.8,6,Health Insurance,4.78,Go,Kubernetes
Salesforce,Data Analyst,Retail,New York,Internship,Lead,Remote,89398.5,EUR,10,6,Flexible Hours,1.09,Java,Spring
IBM,Data Scientist,Education,Remote,Full-time,Entry,Onsite,88821.24,EUR,13.6,10,Health Insurance,4.79,Go,Kubernetes
Netflix,UX Designer,Tech,Seattle,Contract,Senior,Remote,184927.11,INR,7.7,9,Gym Membership,0.22,R,Tableau
Apple,Product Manager,Retail,San Francisco,Full-time,Mid,Onsite,120644.99,USD,3.2,4,Gym Membership,4.18,C#,.NET
Apple,Data Scientist,Media,Chicago,Internship,Entry,Onsite,146627.4,USD,6.9,6,Stock Options,0.37,Python,SQL
Amazon,Product Manager,Retail,San Francisco,Part-time,Senior,Hybrid,95965.54,GBP,6.5,1,Stock Options,2.67,R,Tableau
IBM,Data Analyst,Media,Remote,Full-time,Entry,Hybrid,187768.12,USD,4.3,5,Stock Options,1.41,Go,Kubernetes
Adobe,UX Designer,Education,Boston,Full-time,Lead,Remote,120689.52,EUR,11.2,9,Health Insurance,1.49,Java,Spring
Netflix,Data Analyst,Retail,Boston,Part-time,Entry,Remote,30855.07,AUD,5.9,9,Flexible Hours,1.05,Python,SQL
