Company,Job Title,Industry,Location,Employment Type,Experience Level,Remote Flexibility,Salary (Annual),Currency,Years of Experience,Job Satisfaction Score (1-10),Perks,Last Promotion (Years Ago),TechStack1,TechStack2
Netflix,Software Engineer,Education,Chicago,Part-time,Mid,Remote,67533.95,INR,2.9,3,Remote Stipend,4.26,C#,.NET
Salesforce,UX Designer,Media,Remote,Full-time,Senior,Onsite,41451.67,USD,3,10,Flexible Hours,1.79,R,Tableau
Apple,Data Analyst,Healthcare,Remote,Full-time,Mid,Hybrid,112596.41,INR,9.2,5,Remote Stipend,0.76,C#,.NET
IBM,Product Manager,Healthcare,Seattle,Part-time,Entry,Hybrid,71849.77,EUR,10.7,7,Flexible Hours,0.67,Java,Spring
Netflix,UX Designer,Education,Seattle,Contract,Senior,Hybrid,123784.21,EUR,9.7,2,Health Insurance,4.46,Java,Spring
Apple,Product Manager,Media,Chicago,Full-time,Entry,Remote,174429.84,USD,12.2,10,Remote Stipend,1.06,R,Tableau
Google,Data Scientist,Healthcare,Remote,Internship,Mid,Hybrid,96724.72,AUD,11,5,Gym Membership,2.51,JavaScript,React
Microsoft,UX Designer,Healthcare,Remote,Full-time,Mid,Onsite,146307.48,AUD,2.1,3,Remote Stipend,4.74,JavaScript,React
Amazon,DevOps Engineer,Media,Seattle,Contract,Entry,Remote,159450.3,EUR,0.9,6,Stock Options,3.34,JavaScript,React
Salesforce,Product Manager,Education,Seattle,Internship,Entry,Remote,196700.26,INR,1.5,9,Flexible Hours,4.17,C#,.NET
Meta,Data Scientist,Retail,Remote,Part-time,Lead,Onsite,94348.15,AUD,9.8,2,Flexible Hours,1.88,Go,Kubernetes
Apple,Data Scientist,Education,Austin,Contract,Lead,Hybrid,180819.23,USD,7.5,3,Health Insurance,1.15,R,Tableau
Salesforce,DevOps Engineer,Healthcare,New York,Part-time,Mid,Remote,91577.9,USD,9.9,7,Stock Options,2.41,Java,Spring
Adobe,UX Designer,Finance,Remote,Part-time,Lead,Remote,71423.95,EUR,8.6,3,Remote Stipend,0.2,JavaScript,React
IBM,Software Engineer,Tech,New York,Contract,Mid,Onsite,192900.52,AUD,14.5,1,Flexible Hours,4.74,C#,.NET
Apple,UX Designer,Retail,Seattle,Internship,Mid,Remote,171161.81,AUD,2.1,10,Remote Stipend,3.3,JavaScript,React
Meta,Software Engineer,Media,Chicago,Contract,Lead,Onsite,130401.32,EUR,5.7,3,Stock Options,1.01,Python,SQL
Salesforce,DevOps Engineer,Education,Boston,Part-time,Entry,Remote,110897.76,AUD,9,9,Stock Options,0.47,Go,Kubernetes
Amazon,Data Scientist,Retail,Boston,Full-time,Lead,Onsite,101516.28,USD,10.5,7,Gym Membership,3.95,JavaScript,React
Tesla,Product Manager,Retail,Boston,Full-time,Lead,Remote,73268.06,EUR,13.7,2,Remote Stipend,4.38,Java,Spring
Tesla,Product Manager,Finance,San Francisco,Full-time,Entry,Onsite,31222.99,EUR,10.3,6,Flexible Hours,0.53,R,Tableau
Tesla,DevOps Engineer,Retail,Austin,Contract,Lead,Onsite,92159.5,INR,14.9,7,Gym Membership,2.76,JavaScript,React
Salesforce,UX Designer,Finance,Austin,Internship,Senior,Hybrid,128200.7,GBP,11,2,Health Insurance,2.23,C#,.NET
Amazon,Data Analyst,Finance,Remote,Internship,Senior,Onsite,134384.31,USD,2.4,1,Health Insurance,2.36,Python,SQL
IBM,UX Designer,Tech,San Francisco,Contract,Mid,Hybrid,43606.76,USD,10.9,7,Remote Stipend,1.43,Go,Kubernetes
IBM,Data Analyst,Finance,Chicago,Internship,Lead,Remote,64290.23,AUD,4.3,1,Remote Stipend,2.58,Go,Kubernetes
Apple,Data Scientist,Finance,Chicago,Full-time,Senior,Remote,141353.25,EUR,1.3,5,Flexible Hours,3.35,R,Tableau
Tesla,Data Scientist,Finance,Remote,Full-time,Entry,Remote,123430.75,AUD,13.7,6,Flexible Hours,1.13,Java,Spring
Apple,UX Designer,Education,Remote,Full-time,Senior,Remote,99212.89,USD,8.4,9,Flexible Hours,4.74,Java,Spring
Salesforce,Product Manager,Retail,Boston,Contract,Lead,Hybrid,125738.66,EUR,11.4,8,Gym Membership,4.48,C#,.NET
Google,UX Designer,Tech,Austin,Full-time,Lead,Onsite,164071.52,EUR,10.2,4,Gym Membership,4.78,Java,Spring
Salesforce,Data Scientist,Tech,Chicago,Contract,Mid,Hybrid,45811.6,INR,1.1,3,Flexible Hours,1.77,R,Tableau
IBM,Product Manager,Finance,Chicago,Part-time,Lead,Onsite,63943.31,EUR,13.1,4,Health Insurance,4.17,JavaScript,React
IBM,Product Manager,Finance,Boston,Full-time,Entry,Remote,144888.06,GBP,9.2,9,Gym Membership,1.86,Python,SQL
Netflix,UX Designer,Retail,Boston,Contract,Lead,Remote,197347.1,AUD,4.2,4,Health Insurance,0.27,Go,Kubernetes
Tesla,UX Designer,Retail,San Francisco,Contract,Lead,Onsite,161903.67,GBP,14.6,9,Flexible Hours,3.45,R,Tableau
Google,DevOps Engineer,Finance,Seattle,Full-time,Senior,Hybrid,134172.28,INR,2.8,5,Flexible Hours,2.36,JavaScript,React
IBM,Product Manager,Healthcare,New York,Internship,Lead,Remote,101245.8,INR,5.5,7,Gym Membership,0.9,Java,Spring
Amazon,Data Scientist,Media,New York,Full-time,Senior,Remote,124407.81,GBP,2.9,3,Stock Options,0.88,R,Tableau
Adobe,Software Engineer,Media,Remote,Contract,Lead,Hybrid,72665.59,AUD,0.7,2,Health Insurance,0.3,C#,.NET
Meta,UX Designer,Media,San Francisco,Internship,Senior,Hybrid,91363.54,AUD,8.4,5,Stock Options,2.06,Java,Spring
Netflix,DevOps Engineer,Retail,New York,Part-time,Senior,Hybrid,85265.35,AUD,7.3,8,Gym Membership,3.07,Python,SQL
Adobe,DevOps Engineer,Finance,Boston,Part-time,Senior,Hybrid,137316.48,AUD,6.1,2,Health Insurance,1.72,Python,SQL
Netflix,Product Manager,Media,Austin,Contract,Lead,Hybrid,180907.61,INR,11.2,9,Gym Membership,0.84,R,Tableau
Google,Software Engineer,Media,New York,Contract,Entry,Remote,58374.78,USD,1.4,8,Stock Options,0.13,Go,Kubernetes
Tesla,Data Scientist,Tech,San Francisco,Contract,Mid,Remote,141321.55,GBP,4.6,4,Flexible Hours,2.22,C#,.NET
Amazon,Software Engineer,Retail,Boston,Part-time,Entry,Remote,142803.35,INR,13,8,Flexible Hours,2.74,Go,Kubernetes
Amazon,DevOps Engineer,Retail,New York,Internship,Lead,Onsite,138763.71,AUD,4.6,6,Remote Stipend,1.14,R,Tableau
Microsoft,UX Designer,Healthcare,Austin,Internship,Senior,Remote,81607.4,USD,7.8,3,Flexible Hours,2.35,Java,Spring
Google,DevOps Engineer,Education,Boston,Internship,Senior,Remote,160197.76,INR,9,1,Flexible Hours,0.94,Go,Kubernetes
Salesforce,UX Designer,Education,New York,Part-time,Lead,Hybrid,67500.71,USD,6.3,4,Remote Stipend,4.04,Go,Kubernetes
Meta,Product Manager,Media,Chicago,Contract,Lead,Remote,175091.94,EUR,2,2,Gym Membership,3.09,C#,.NET
Meta,DevOps Engineer,Retail,Seattle,Part-time,Senior,Remote,55865.38,AUD,0.3,2,Flexible Hours,0.63,Java,Spring
Adobe,DevOps Engineer,Tech,New York,Full-time,Mid,Remote,113908.52,INR,6.3,8,Gym Membership,3.48,Java,Spring
Google,Product Manager,Tech,Boston,Part-time,Entry,Hybrid,161860.99,USD,8.1,3,Flexible Hours,4.09,JavaScript,React
Google,Data Analyst,Media,New York,Internship,Lead,Remote,155395.23,USD,3,2,Health Insurance,2.36,Go,Kubernetes
Meta,Product Manager,Finance,Chicago,Full-time,Entry,Hybrid,111809.03,INR,3,1,Health Insurance,4.87,C#,.NET
Apple,DevOps Engineer,Education,Austin,Full-time,Mid,Hybrid,129398.47,GBP,11.8,1,Remote Stipend,3.92,Python,SQL
Adobe,DevOps Engineer,Retail,New York,Contract,Entry,Remote,56808.74,USD,10.3,6,Stock Options,0.3,C#,.NET
Amazon,DevOps Engineer,Retail,Boston,Full-time,Mid,Hybrid,69554.69,AUD,11.8,6,Health Insurance,0.11,R,Tableau
Tesla,Product Manager,Media,New York,Contract,Entry,Hybrid,150126.42,AUD,4.4,8,Remote Stipend,0.93,JavaScript,React
Netflix,Product Manager,Media,Seattle,Contract,Mid,Remote,120293.36,GBP,4.4,5,Flexible Hours,2.27,Go,Kubernetes
Salesforce,UX Designer,Media,New York,Full-time,Senior,Onsite,70593.71,USD,9.9,9,Health Insurance,2.62,R,Tableau
Adobe,Data Scientist,Finance,Remote,Contract,Senior,Hybrid,138953.67,USD,1.4,2,Health Insurance,0.89,Python,SQL
Google,Software Engineer,Tech,Seattle,Part-time,Entry,Remote,127072.07,GBP,9.9,9,Remote Stipend,1.28,Go,Kubernetes
Netflix,Software Engineer,Retail,Chicago,Full-time,Entry,Remote,141477.39,USD,7,1,Remote Stipend,3.72,Java,Spring
Tesla,Product Manager,Media,San Francisco,Contract,Entry,Onsite,41965.98,INR,1.2,4,Stock Options,0.51,Go,Kubernetes
Apple,Data Scientist,Education,New York,Part-time,Mid,Onsite,136305.26,EUR,8.4,9,Stock Options,3.83,R,Tableau
IBM,Product Manager,Media,Seattle,Internship,Entry,Remote,164718.47,AUD,6,6,Health Insurance,2.67,C#,.NET
IBM,UX Designer,Healthcare,Austin,Contract,Senior,Hybrid,159911.34,GBP,12.4,6,Health Insurance,2.82,Go,Kubernetes
Apple,UX Designer,Retail,Chicago,Contract,Senior,Hybrid,106074.96,GBP,0,1,Remote Stipend,0.08,Java,Spring
Amazon,Product Manager,Tech,Austin,Part-time,Mid,Hybrid,33689.23,INR,13.8,9,Remote Stipend,4.63,Go,Kubernetes
Amazon,Data Analyst,Tech,Seattle,Contract,Mid,Remote,75047.99,AUD,3.7,5,Stock Options,2.85,Java,Spring
IBM,Software Engineer,Media,San Francisco,Contract,Lead,Remote,113006.99,AUD,12.3,2,Flexible Hours,0.19,Go,Kubernetes
IBM,UX Designer,Tech,Boston,Full-time,Senior,Hybrid,179564.73,GBP,6.2,2,Remote Stipend,4.64,JavaScript,React
Tesla,Data Analyst,Healthcare,Remote,Full-time,Senior,Onsite,126035.19,INR,7.5,4,Stock Options,3.37,JavaScript,React
Tesla,UX Designer,Retail,Remote,Full-time,Mid,Hybrid,79263.11,GBP,2.2,6,Gym Membership,2.86,Python,SQL
Google,Data Scientist,Education,Austin,Full-time,Lead,Onsite,103863.49,EUR,11.4,8,Health Insurance,2.44,Go,Kubernetes
IBM,Software Engineer,Retail,Remote,Part-time,Mid,Remote,75263.71,GBP,4.9,10,Stock Options,3.36,Python,SQL
Tesla,Product Manager,Healthcare,New York,Contract,Senior,Onsite,141419.68,INR,2.5,6,Gym Membership,3.12,Go,Kubernetes
Adobe,Data Analyst,Finance,New York,Contract,Mid,Onsite,174969.9,USD,11.1,4,Health Insurance,4.34,Go,Kubernetes
Meta,Data Analyst,Healthcare,Chicago,Full-time,Senior,Hybrid,110102.35,INR,3.1,9,Health Insurance,2.73,JavaScript,React
Meta,Data Scientist,Education,Remote,Part-time,Entry,Hybrid,129110.84,AUD,0.7,3,Flexible Hours,1,Python,SQL
IBM,Product Manager,Tech,Seattle,Full-time,Entry,Hybrid,142263.38,INR,13,1,Gym Membership,1.16,Java,Spring
Tesla,Data Scientist,Media,San Francisco,Contract,Lead,Onsite,120365.31,EUR,3,8,Stock Options,0.2,Go,Kubernetes
Salesforce,Product Manager,Healthcare,Seattle,Internship,Mid,Remote,88952.58,INR,5.3,5,Remote Stipend,1.38,JavaScript,React
Google,DevOps Engineer,Healthcare,Seattle,Full-time,Senior,Remote,55790.39,GBP,9.9,2,Gym Membership,2.6,C#,.NET
IBM,DevOps Engineer,Media,New York,Internship,Mid,Onsite,55967.36,INR,13.6,6,Remote Stipend,0.66,R,Tableau
Amazon,Data Scientist,Retail,Chicago,Part-time,Mid,Hybrid,147050.46,AUD,13.6,7,Remote Stipend,4.59,JavaScript,React
Netflix,Data Analyst,Retail,Remote,Full-time,Mid,Hybrid,172718.83,EUR,10.9,6,Gym Membership,1.52,R,Tableau
Meta,Software Engineer,Finance,San Francisco,Part-time,Mid,Remote,159616.07,AUD,9.3,10,Remote Stipend,1.15,Go,Kubernetes
Apple,Software Engineer,Media,San Francisco,Contract,Entry,Onsite,162570.46,EUR,7.5,10,Flexible Hours,0.92,R,Tableau
Tesla,UX Designer,Education,New York,Part-time,Mid,Remote,35479.02,USD,13.9,7,Health Insurance,3.79,JavaScript,React
Microsoft,Software Engineer,Education,Boston,Internship,Senior,Hybrid,180889.78,GBP,6.1,1,Gym Membership,3.6,Go,Kubernetes
Tesla,Data Scientist,Media,Remote,Full-time,Entry,Hybrid,107673.07,USD,13.2,4,Remote Stipend,1.98,Go,Kubernetes
Google,Data Scientist,Education,Remote,Full-time,Mid,Hybrid,104724.16,INR,11.6,5,Health Insurance,2.11,R,Tableau
IBM,Data Analyst,Media,Remote,Part-time,Lead,Onsite,106788.67,AUD,1.7,10,Remote Stipend,0.68,C#,.NET
Tesla,Product Manager,Education,San Francisco,Part-time,Lead,Onsite,182424.98,EUR,13.2,2,Flexible Hours,3.46,Java,Spring
Amazon,DevOps Engineer,Media,San Francisco,Full-time,Entry,Onsite,106397.73,INR,1.3,7,Remote Stipend,3.06,C#,.NET
Amazon,UX Designer,Retail,Seattle,Full-time,Mid,Hybrid,126133.57,EUR,2.4,3,Stock Options,2.1,JavaScript,React
Meta,DevOps Engineer,Education,Austin,Part-time,Entry,Remote,193273.76,USD,9.3,5,Gym Membership,2.49,Python,SQL
Adobe,Data Scientist,Tech,Remote,Internship,Mid,Remote,130106.6,GBP,6.8,8,Remote Stipend,3,Python,SQL
Apple,Data Scientist,Healthcare,Remote,Part-time,Entry,Remote,55203.55,INR,0.6,1,Remote Stipend,4.19,C#,.NET
Meta,Product Manager,Tech,San Francisco,Full-time,Lead,Remote,57426.99,INR,9.2,10,Remote Stipend,0.89,Go,Kubernetes
Adobe,DevOps Engineer,Retail,Austin,Full-time,Entry,Hybrid,84879.71,GBP,12.3,7,Stock Options,1.46,Go,Kubernetes
Amazon,Data Analyst,Media,Boston,Contract,Senior,Onsite,100338.84,EUR,10.4,10,Stock Options,2.86,Python,SQL
Salesforce,Data Analyst,Education,Chicago,Contract,Lead,Onsite,174125.65,INR,7.9,10,Health Insurance,3.07,Java,Spring
Adobe,Data Scientist,Media,Chicago,Internship,Lead,Remote,180222.83,EUR,10.6,4,Stock Options,0.12,Python,SQL
Microsoft,DevOps Engineer,Finance,Boston,Internship,Lead,Remote,86744.68,AUD,12.1,4,Health Insurance,3.45,Python,SQL
Meta,Data Analyst,Healthcare,Austin,Contract,Entry,Remote,146592.08,INR,5.9,10,Stock Options,4.16,Go,Kubernetes
Apple,Product Manager,Healthcare,Chicago,Internship,Lead,Remote,139760.88,GBP,2.3,8,Flexible Hours,2.31,Go,Kubernetes
Tesla,DevOps Engineer,Tech,Boston,Contract,Senior,Onsite,121100.53,EUR,8.7,6,Stock Options,4.85,Java,Spring
Meta,Data Analyst,Healthcare,Seattle,Part-time,Lead,Remote,131182.62,INR,10.6,6,Stock Options,1.36,C#,.NET
Microsoft,UX Designer,Finance,Austin,Internship,Senior,Remote,119267.07,EUR,1.7,1,Stock Options,2.22,JavaScript,React
Google,UX Designer,Retail,New York,Part-time,Senior,Hybrid,154514.98,AUD,4.7,6,Stock Options,4.11,JavaScript,React
Salesforce,DevOps Engineer,Finance,New York,Full-time,Lead,Hybrid,151325.16,AUD,1.7,5,Remote Stipend,4.36,Python,SQL
Netflix,UX Designer,Tech,San Francisco,Contract,Entry,Onsite,158943.95,EUR,4.8,4,Flexible Hours,2.66,Java,Spring
Adobe,DevOps Engineer,Tech,Austin,Part-time,Mid,Hybrid,49458.27,AUD,8.4,2,Remote Stipend,1.75,JavaScript,React
Netflix,Product Manager,Finance,Chicago,Contract,Mid,Remote,42111.29,AUD,13.4,9,Stock Options,0.65,R,Tableau
Adobe,DevOps Engineer,Tech,San Francisco,Internship,Entry,Remote,102499.18,EUR,10.6,10,Gym Membership,3.08,C#,.NET
Meta,Product Manager,Finance,Chicago,Full-time,Lead,Onsite,52405.2,GBP,1.5,5,Gym Membership,2.35,C#,.NET
Apple,Software Engineer,Retail,Austin,Contract,Lead,Remote,148934.49,INR,11.8,6,Gym Membership,0.15,R,Tableau
Adobe,Data Analyst,Healthcare,Seattle,Internship,Mid,Hybrid,160550.06,AUD,8.6,9,Gym Membership,4.09,Python,SQL
Microsoft,Product Manager,Retail,Chicago,Full-time,Senior,Onsite,108365.72,AUD,6.2,10,Remote Stipend,0.8,JavaScript,React
Adobe,UX Designer,Tech,Austin,Part-time,Lead,Hybrid,126425.9,INR,8.2,4,Stock Options,3.7,JavaScript,React
IBM,UX Designer,Tech,Remote,Internship,Senior,Onsite,46601.16,GBP,2.6,7,Remote Stipend,0.54,Python,SQL
IBM,UX Designer,Healthcare,Seattle,Full-time,Entry,Remote,168895.71,AUD,13.5,1,Health Insurance,2.26,JavaScript,React
Meta,UX Designer,Retail,Remote,Internship,Mid,Remote,145857.85,INR,4.5,5,Flexible Hours,4.95,R,Tableau
IBM,Data Analyst,Retail,Remote,Internship,Mid,Hybrid,40609.79,AUD,14.5,1,Remote Stipend,4.1,C#,.NET
Netflix,Data Analyst,Healthcare,Boston,Full-time,Mid,Hybrid,149377.72,GBP,9.4,7,Gym Membership,2.18,R,Tableau
Apple,DevOps Engineer,Finance,Seattle,Part-time,Mid,Onsite,95381.16,INR,12.6,3,Health Insurance,0.67,Java,Spring
Microsoft,DevOps Engineer,Tech,New York,Internship,Lead,Remote,44392.79,GBP,12.9,10,Remote Stipend,0.9,R,Tableau
Salesforce,UX Designer,Retail,Boston,Internship,Lead,Hybrid,68375.96,GBP,9.1,10,Health Insurance,3.56,R,Tableau
Meta,UX Designer,Retail,Remote,Contract,Entry,Remote,126585.43,INR,1.7,8,Stock Options,0.71,C#,.NET
Salesforce,Product Manager,Education,Remote,Full-time,Entry,Remote,110316.77,USD,10.3,9,Flexible Hours,3.07,Go,Kubernetes
Netflix,Data Scientist,Tech,Seattle,Internship,Lead,Onsite,154748.47,GBP,5.3,5,Health Insurance,0.18,Java,Spring
IBM,DevOps Engineer,Healthcare,Chicago,Contract,Entry,Onsite,110437.29,EUR,8.6,5,Remote Stipend,0.14,C#,.NET
Adobe,Data Analyst,Finance,Remote,Full-time,Senior,Hybrid,52531.59,INR,4.1,5,Stock Options,3.02,Python,SQL
IBM,DevOps Engineer,Finance,Chicago,Internship,Senior,Remote,74412.94,EUR,7.3,9,Flexible Hours,4.92,Python,SQL
Amazon,Data Scientist,Finance,Boston,Internship,Lead,Hybrid,70451.06,GBP,10.9,3,Remote Stipend,3.67,JavaScript,React
Netflix,Data Analyst,Media,Austin,Full-time,Entry,Remote,108882.54,GBP,4.5,9,Gym Membership,3.42,JavaScript,React
Tesla,UX Designer,Healthcare,New York,Internship,Entry,Hybrid,187627.83,GBP,5.7,6,Stock Options,0.49,Go,Kubernetes
Salesforce,DevOps Engineer,Healthcare,Boston,Internship,Senior,Hybrid,75955.44,USD,3.8,10,Gym Membership,3.87,R,Tableau
Apple,DevOps Engineer,Media,Remote,Part-time,Senior,Onsite,147347.32,EUR,4.7,1,Stock Options,4.16,C#,.NET
Google,UX Designer,Tech,Remote,Full-time,Lead,Hybrid,67300.78,INR,3.8,1,Remote Stipend,0.46,Python,SQL
IBM,DevOps Engineer,Finance,Remote,Full-time,Entry,Remote,175594.94,EUR,5.6,10,Stock Options,3.48,JavaScript,React
Meta,Product Manager,Education,Chicago,Full-time,Lead,Hybrid,160791.05,INR,3.9,2,Stock Options,1.91,Java,Spring
Netflix,Data Analyst,Healthcare,Boston,Contract,Mid,Hybrid,41797.74,EUR,9.2,3,Gym Membership,0.54,C#,.NET
Salesforce,UX Designer,Finance,Remote,Full-time,Lead,Onsite,74029.36,USD,1.1,10,Flexible Hours,3.89,C#,.NET
Google,UX Designer,Finance,Chicago,Full-time,Entry,Onsite,96382.25,EUR,10.5,7,Stock Options,2.58,Go,Kubernetes
Adobe,UX Designer,Education,Seattle,Full-time,Mid,Remote,95352.06,GBP,1.8,9,Flexible Hours,3.41,Java,Spring
Tesla,Data Analyst,Media,Chicago,Full-time,Senior,Onsite,175068.15,INR,1.2,8,Health Insurance,0.88,Java,Spring
Google,UX Designer,Media,New York,Contract,Lead,Remote,137204.9,INR,7.3,8,Health Insurance,0.7,C#,.NET
Apple,Data Analyst,Media,Remote,Part-time,Lead,Hybrid,40708.75,AUD,9.7,8,Gym Membership,4.83,Go,Kubernetes
Google,Data Analyst,Healthcare,San Francisco,Contract,Entry,Hybrid,50091.81,AUD,6.9,9,Remote Stipend,1.16,JavaScript,React
Microsoft,Data Analyst,Media,New York,Internship,Entry,Hybrid,184220.41,AUD,0.7,3,Health Insurance,3.16,Python,SQL
Meta,Data Analyst,Education,Remote,Part-time,Entry,Remote,49410.55,AUD,12,4,Health Insurance,2.13,Python,SQL
Tesla,Product Manager,Tech,Chicago,Part-time,Senior,Remote,159918.74,AUD,2.6,2,Flexible Hours,0.71,Python,SQL
Tesla,Software Engineer,Media,Austin,Part-time,Lead,Remote,187364.84,USD,2,10,Health Insurance,0.08,R,Tableau
Adobe,Data Analyst,Tech,San Francisco,Part-time,Entry,Onsite,140798.48,INR,6.2,8,Health Insurance,1.03,C#,.NET
Meta,Data Scientist,Education,Seattle,Part-time,Mid,Onsite,147584.51,AUD,2.7,8,Stock Options,3.14,Go,Kubernetes
Meta,Product Manager,Education,San Francisco,Part-time,Mid,Remote,197722.6,USD,9.3,9,Health Insurance,2.32,Go,Kubernetes
Apple,Product Manager,Tech,New York,Full-time,Mid,Onsite,173442.89,GBP,7.5,3,Stock Options,0.27,C#,.NET
Netflix,Product Manager,Finance,Seattle,Contract,Senior,Onsite,166876.12,GBP,0.6,1,Health Insurance,0.79,Go,Kubernetes
Google,UX Designer,Retail,San Francisco,Full-time,Mid,Onsite,105619.55,AUD,4.9,4,Flexible Hours,1.15,C#,.NET
Microsoft,Product Manager,Finance,San Francisco,Part-time,Lead,Remote,93840.51,EUR,1.1,10,Stock Options,4.45,R,Tableau
Amazon,Software Engineer,Retail,Seattle,Part-time,Lead,Hybrid,53188.78,EUR,9.5,5,Flexible Hours,0.64,JavaScript,React
IBM,Data Analyst,Healthcare,New York,Full-time,Lead,Hybrid,101098.05,INR,3.3,5,Health Insurance,3.95,Go,Kubernetes
IBM,Software Engineer,Retail,Remote,Part-time,Entry,Hybrid,175685.54,GBP,12.9,4,Gym Membership,4.18,Go,Kubernetes
